y/H,Re/1000,Sm /Ao,Co
0.05,0.1,0,0
0.05,0.1,0.05,0.1
0.05,0.1,0.1,0.21
0.05,0.1,0.15,0.34
0.05,0.1,0.2,0.46
0.05,0.5,0,0
0.05,0.5,0.05,0.08
0.05,0.5,0.1,0.17
0.05,0.5,0.15,0.27
0.05,0.5,0.2,0.37
0.05,1000,0,0
0.05,1000,0.05,0.02
0.05,1000,0.1,0.05
0.05,1000,0.15,0.08
0.05,1000,0.2,0.11
0.05,200,0,0
0.05,200,0.05,0.08
0.05,200,0.1,0.17
0.05,200,0.15,0.27
0.05,200,0.2,0.37
0.05,300,0,0
0.05,300,0.05,0.07
0.05,300,0.1,0.15
0.05,300,0.15,0.25
0.05,300,0.2,0.34
0.05,400,0,0
0.05,400,0.05,0.05
0.05,400,0.1,0.11
0.05,400,0.15,0.18
0.05,400,0.2,0.24
0.05,500,0,0
0.05,500,0.05,0.04
0.05,500,0.1,0.08
0.05,500,0.15,0.13
0.05,500,0.2,0.18
0.05,600,0,0
0.05,600,0.05,0.02
0.05,600,0.1,0.04
0.05,600,0.15,0.07
0.05,600,0.2,0.1
0.15,0.1,0,0
0.15,0.1,0.05,0.09
0.15,0.1,0.1,0.19
0.15,0.1,0.15,0.31
0.15,0.1,0.2,0.42
0.15,0.5,0,0
0.15,0.5,0.05,0.07
0.15,0.5,0.1,0.15
0.15,0.5,0.15,0.25
0.15,0.5,0.2,0.34
0.15,1000,0,0
0.15,1000,0.05,0.02
0.15,1000,0.1,0.04
0.15,1000,0.15,0.07
0.15,1000,0.2,0.1
0.15,200,0,0
0.15,200,0.05,0.07
0.15,200,0.1,0.15
0.15,200,0.15,0.25
0.15,200,0.2,0.34
0.15,300,0,0
0.15,300,0.05,0.06
0.15,300,0.1,0.14
0.15,300,0.15,0.23
0.15,300,0.2,0.31
0.15,400,0,0
0.15,400,0.05,0.05
0.15,400,0.1,0.1
0.15,400,0.15,0.17
0.15,400,0.2,0.22
0.15,500,0,0
0.15,500,0.05,0.04
0.15,500,0.1,0.08
0.15,500,0.15,0.12
0.15,500,0.2,0.17
0.15,600,0,0
0.15,600,0.05,0.02
0.15,600,0.1,0.04
0.15,600,0.15,0.07
0.15,600,0.2,0.09
0.2,0.1,0,0
0.2,0.1,0.05,0.08
0.2,0.1,0.1,0.18
